run,position,angle,timing,pins
4,1,1,1,96
13,1,1,-1,99
23,1,-1,1,97
1,1,-1,-1,99
19,-1,1,1,88
5,-1,1,-1,94
9,-1,-1,1,98
14,-1,-1,-1,99
11,1,1,1,97
18,1,1,-1,97
20,1,-1,1,99
7,1,-1,-1,96
2,-1,1,1,98
24,-1,1,-1,99
21,-1,-1,1,96
8,-1,-1,-1,93
15,1,1,1,95
6,1,1,-1,98
10,1,-1,1,99
16,1,-1,-1,97
17,-1,1,1,92
12,-1,1,-1,98
22,-1,-1,1,99
3,-1,-1,-1,98
